,Calendar Year,GDP (2011-12 base year) in crores(₹)[234],Total Expenditure in crores (₹),Budget of Department of Space[235],Budget of Department of Space[235]
,Calendar Year,GDP (2011-12 base year) in crores(₹)[234],Total Expenditure in crores (₹),Nominal INR (crore),2020 Constant INR (crore)
0,1972-73,55245,,18.2325,696.489
1,1973-74,67241,,19.0922,624.381
2,1974-75,79378,,30.7287,781.901
3,1975-76,85212,,36.8379,879.281
4,1976-77,91812,,41.14,1062.174
5,1977-78,104024,,37.367,890.726
6,1978-79,112671,,51.4518,1196.291
7,1979-80,123562,,57.0062,1247.563
8,1980-81,147063,,82.1087,1613.259
9,1981-82,172776,,109.1321,1896.051
10,1982-83,193255,,94.8898,1527.408
11,1983-84,225074,,163.3656,2351.37
12,1984-85,252188,,181.601,2410.543
13,1985-86,284534,,229.1023,2881.303
14,1986-87,318366,,309.9909,3585.645
15,1987-88,361865,,347.0846,3690.41
16,1988-89,429363,,422.367,4105.274
17,1989-90,493278,,398.5595,3616.972
18,1990-91,576109,105298.0,386.2218,3217.774
19,1991-92,662260,111414.0,460.101,3366.237
20,1992-93,761196,122618.0,490.9204,3210.258
21,1993-94,875992,141853.0,695.335,4277.163
22,1994-95,1027570,160739.0,759.0793,4237.768
23,1995-96,1205583,178275.0,755.778596,3826.031
24,1996-97,1394816,201007.0,1062.4466,4935.415
25,1997-98,1545294,232053.0,1050.5025,4550.066
26,1998-99,1772297,279340.0,1401.7026,5364.608
27,1999-00,1988262,298053.0,1677.3858,6123.403
28,2000-01,2139886,325592.0,1905.3997,6686.851
29,2001-02,2315243,362310.0,1900.9737,6429.035
30,2002-03,2492614,413248.0,2162.2248,7010.441
31,2003-04,2792530,471203.0,2268.8047,7085.999
32,2004-05,3186332,498252.0,2534.3486,7627.942
33,2005-06,3632125,505738.0,2667.6044,7701.599
34,2006-07,4254629,583387.0,2988.6655,8156.366
35,2007-08,4898662,712671.0,3278.0044,8408.668
36,2008-09,5514152,883956.0,3493.5715,8273.225
37,2009-10,6366407,1024487.0,4162.9599,8894.965
38,2010-11,7634472,1197328.0,4482.2315,8542.8
39,2011-12,8736329,1304365.0,3790.7888,6636.301
40,2012-13,9944013,1410372.0,4856.2839,7778.216
41,2013-14,11233522,1559447.0,5168.9514,7464.0
42,2014-15,12467960,1663673.0,5821.3663,7902.702
43,2015-16,13771874,1790783.0,6920.0052,8872.483
44,2016-17,15391669,1975194.0,8039.9968,9820.512
45,2017-18,17090042,2141975.0,9130.5664,10881.647
46,2018-19,18899668,2315113.0,11192.6566,12722.226
47,2019-20,20074856,2686330.0,13033.2917,13760.472
48,2020-21,19800914,3509836.0,9490.0539,9490.054
49,2021-22,23664637,3793801.0,12473.84,12473.84
