,Calendar Year,NASA budget,NASA budget,NASA budget
,Calendar Year,Nominal Dollars (Millions),% of Fed Budget[5][6],2022 Constant Dollars (Millions)
0,1958,89,0.1%,903.0
1,1959,145,0.2%,1456.0
2,1960,401,0.5%,3967.0
3,1961,744,0.9%,7286.0
4,1962,1257,1.18%,12161.0
5,1963,2552,2.29%,24394.0
6,1964,4171,3.52%,39356.0
7,1965,5092,4.31%,47285.0
8,1966,5933,4.41%,53513.0
9,1967,5425,3.45%,47612.0
10,1968,4722,2.65%,39737.0
11,1969,4251,2.31%,33923.0
12,1970,3752,1.92%,28273.0
13,1971,3382,1.61%,24438.0
14,1972,3423,1.48%,23947.0
15,1973,3312,1.35%,21833.0
16,1974,3255,1.21%,19315.0
17,1975,3269,0.98%,17778.0
18,1976,3671,0.99%,18879.0
19,1977,4002,0.98%,19327.0
20,1978,4164,0.91%,18683.0
21,1979,4380,0.87%,17661.0
22,1980,4959,0.84%,17613.0
23,1981,5537,0.82%,17823.0
24,1982,6155,0.83%,18665.0
25,1983,6853,0.85%,20135.0
26,1984,7055,0.83%,19872.0
27,1985,7251,0.77%,19729.0
28,1986,7403,0.75%,19764.0
29,1987,7591,0.76%,19553.0
30,1988,9092,0.85%,22497.0
31,1989,11036,0.96%,26054.0
32,1990,12429,0.99%,27840.0
33,1991,13878,1.05%,29818.0
34,1992,13961,1.01%,29114.0
35,1993,14305,1.01%,28979.0
36,1994,13695,0.94%,27039.0
37,1995,13378,0.88%,25693.0
38,1996,13881,0.89%,25901.0
39,1997,14360,0.90%,26178.0
40,1998,14194,0.86%,25484.0
41,1999,13636,0.80%,23954.0
42,2000,13428,0.75%,22819.0
43,2001,14095,0.76%,23295.0
44,2002,14405,0.72%,23437.0
45,2003,14610,0.68%,23242.0
46,2004,15152,0.66%,23475.0
47,2005,15602,0.63%,23378.0
48,2006,15125,0.57%,21956.0
49,2007,15861,0.58%,22385.0
50,2008,17833,0.60%,24239.0
51,2009,"17,782[7]",0.57%,24255.0
52,2010,"18,724[8]",0.52%,25127.0
53,2011,"18,448[9]",0.51%,23999.0
54,2012,"17,770[10]",0.50%,22651.0
55,2013,"16,865[11]",0.49%,21187.0
56,2014,"17,647[12]",0.50%,21814.0
57,2015,"18,010[13]",0.49%,22235.0
58,2016,"19,300[14]",0.50%,23534.0
59,2017,"19,508[15]",0.47%,23290.0
60,2018,"20,736[16]",0.50%,24165.0
61,2019,"21,500[17]",0.47%,24609.0
62,2020,"22,629[18]",0.48%,25509.0
63,2021,"23,271[19]",,
